"","Zip","Amt1"
"348","94133",4150
"349","94134",799
"350","94148",1042
"351","94158",305
"352","94158-1679",200
"353","94158-1683",1000
"354","94159",1000
"355","94301",22150
"356","94301-1444",1000
"357","94301-2410",500
"358","94301-2583",1000
"359","94301-2898",300
"360","94301-3437",2200
"361","94303",8700
"362","94303-3102",100
"363","94303-4004",240
"364","94303-4230",2000
"365","94303-4853",750
"366","94303-4911",1500
"367","94305",250
"368","94305-7201",3000
"369","94306",5210
"370","94306-1533",1500
"371","94306-2100",300
"372","94306-2351",300
"373","94306-4426",400
"374","94402",4450
"375","94403",5115
"376","94403-1161",2000
"377","94403-3224",100
"378","94404",1200
"379","94404-3967",200
"380","94404-5035",200
"381","94501",1250
"382","94502",4532
"383","94505",2500
"384","94505-1330",200
"385","94505-9364",150
"386","94506",10300
"387","94506-5043",275
"388","94507",2600
"389","94507-1753",200
"390","94507-2205",400
"391","94509",100
"392","94510-2753",50
"393","94510-3997",100
"394","94513",8870
"395","94513-5642",200
"396","94513-6950",650
"397","94515",500
"398","94517",300
"399","94518",2200
"400","94520",5750
"401","94520-1213",250
"402","94521",280
"403","94523",50
"404","94523-3653",200
"405","94526",1900
"406","94526-3928",600
"407","94526-4329",200
"408","94526-5650",100
"409","94530",1100
"410","94531",300
"411","94536",1770
"412","94536-4738",200
"413","94536-6837",200
"414","94536-7036",200
"415","94538",7496
"416","94538-1447",3300
"417","94538-3326",600
"418","94538-4029",100
"419","94539",14418
"420","94539-4544",600
"421","94539-6563",1500
"422","94539-6639",150
"423","94539-6779",3300
"424","94539-7203",500
"425","94541",1099
"426","94542",690.98
"427","94544",3625
"428","94545",310
"429","94546",100
"430","94549",3800
"431","94550",6431.96
"432","94550-5123",200
"433","94550-5854",200
"434","94550-6060",240
"435","94550-6127",250
"436","94550-6204",225
"437","94550-6570",150
"438","94550-7136",400
"439","94550-8910",100
"440","94550-9675",150
"441","94551",700
"442","94551-8735",500
"443","94552",2675
"444","94553",300
"445","94555",110
"446","94555-1357",500
"447","94557",100
"448","94560",2825
"449","94563",250
"450","94565",520
"451","94566",5175
"452","94566-5640",3300
"453","94566-6821",500
"454","94566-7620",200
"455","94568",220
"456","94568-8814",300
"457","94571",440.98
"458","94577",2950
"459","94578-3959",500
"460","94579",5
"461","94580",90
"462","94582",1800
"463","94582-5109",300
"464","94582-5279",300
"465","94583",10975
"466","94583-1344",500
"467","94583-2448",70
"468","94583-3500",750
"469","94583-3954",1000
"470","94583-4349",1500
"471","94587",294
"472","94587-4024",100
"473","94588",15360
"474","94588-2624",250
"475","94588-3368",250
"476","94589",100
"477","94590",1050
"478","94591-6359",200
"479","94591-8342",1500
"480","94596",10540
"481","94597",100
"482","94601",15
"483","94605",2200
"484","94606",2365
"485","94607",2450
"486","94608",2700
"487","94609",51
"488","94610",104
"489","94610-1204",100
"490","94611",12350
"491","94618",100
"492","94619",1145
"493","94619-1631",50
"494","94621",5750
"495","94704",250
"496","94705",450
"497","94706",257
"498","94708",100
"499","94804",500
"500","94806",1100
"501","94903",1000
"502","94920",1100
"503","94939",1100
"504","94941",2800
"505","94941-4218",2250
"506","94949",1100
"507","94963",300
"508","95002",8775
"509","95002-0787",600
"510","95003",1850
"511","95003-3435",100
"512","95003-5023",75
"513","95003-5515",150
"514","95005",1398
"515","95008",42386.12
"516","95008-0550",2200
"517","95008-2030",1000
"518","95008-2621",1500
"519","95008-3721",1500
"520","95008-4224",50
"521","95008-5079",3300
"522","95008-5305",1000
"523","95008-5747",100
"524","95008-6824",300
"525","95008-6901",2000
"526","95010",2400
"527","95011",200.51
"528","95013",1000
"529","95014",41343
"530","95014-1031",1500
"531","95014-1174",3000
"532","95014-1625",50
"533","95014-1764",200
"534","95014-1823",300
"535","95014-2034",1500
"536","95014-2784",100
"537","95014-3114",300
"538","95014-3939",75
"539","95014-4155",75
"540","95014-4755",500
"541","95014-5442",1500
"542","95014-6521",750
"543","95015",100
"544","95018",720
"545","95018-9307",200
"546","95019-2716",200
"547","95020",17019.24
"548","95020-3740",300
"549","95020-4067",300
"550","95020-7260",100
"551","95020-7404",4300
"552","95020-7765",175
"553","95020-9565",3000
"554","95023",3190.98
"555","95023-5672",100
"556","95023-6443",200
"557","95023-9211",50
"558","95024",500
"559","95025",500
"560","95030",74285
"561","95030-2150",3000
"562","95030-2925",1500
"563","95030-3003",1100
"564","95030-3019",250
"565","95030-4361",250
"566","95030-5910",300
"567","95030-5915",1000
"568","95030-5937",1300
"569","95030-6020",500
"570","95030-6027",750
"571","95030-6346",750
"572","95030-7528",3300
"573","95031",550
"574","95032",70655
"575","95032-1215",1900
"576","95032-2401",3300
"577","95032-3634",400
"578","95032-3900",3300
"579","95032-5035",1100
"580","95032-5145",200
"581","95032-5702",3300
"582","95032-5709",1100
"583","95032-5714",750
"584","95032-6508",1000
"585","95033",10702.56
"586","95033-8523",50
"587","95035",43990
"588","95035-3005",200
"589","95035-3201",300
"590","95035-4007",100
"591","95035-4401",950
"592","95035-4429",200
"593","95035-6034",205
"594","95035-6108",100
"595","95035-6317",1500
"596","95035-6521",300
"597","95035-6536",115
"598","95035-6700",1000
"599","95035-6932",150
"600","95035-7616",1400
"601","95035-7713",300
"602","95036",100
"603","95037",26889.56
"604","95037-2533",100
"605","95037-2859",3300
"606","95037-3126",200
"607","95037-3366",250
"608","95037-3454",300
"609","95037-3561",75
"610","95037-3669",1100
"611","95037-3686",750
"612","95037-4852",200
"613","95037-5361",200
"614","95037-5624",100
"615","95037-5865",100
"616","95037-5906",750
"617","95037-6069",747
"618","95037-6109",110
"619","95037-6222",1000
"620","95037-7115",300
"621","95037-7133",845
"622","95037-7210",500
"623","95037-7520",450
"624","95037-9033",1500
"625","95037-9050",225
"626","95037-9478",450
"627","95037-9528",498
"628","95037-9699",850
"629","95046",5550
"630","95046-9477",1500
"631","95050",45710
"632","95050-2149",200
"633","95050-2646",1000
"634","95050-3319",600
"635","95050-3331",50
"636","95050-3984",3300
"637","95050-4259",3000
"638","95050-5209",150
"639","95050-5250",300
"640","95050-5529",500
"641","95050-5561",600
"642","95050-5593",1000
"643","95051",16890
"644","95051-1710",300
"645","95051-4713",600
"646","95051-5219",450
"647","95051-6501",300
"648","95053",1100
"649","95054",21296
"650","95054-3743",150
"651","95054-4165",90
"652","95054-4197",150
"653","95055",500
"654","95060",8080
"655","95060-1612",100
"656","95060-2003",150
"657","95060-3548",500
"658","95060-5473",2550
"659","95060-6457",400
"660","95060-9663",400
"661","95060-9710",150
"662","95060-9725",1900
"663","95062",3050
"664","95062-0000",100
"665","95062-3119",200
"666","95062-3644",100
"667","95062-4541",500
"668","95063",20
"669","95065-9693",200
"670","95066",791.68
"671","95066-4400",450
"672","95070",54969
"673","95070-3620",600
"674","95070-4257",3300
"675","95070-4722",300
"676","95070-5209",200
"677","95070-5417",1100
"678","95070-5436",200
"679","95070-5746",1100
"680","95070-6423",3300
"681","95070-6552",2530
"682","95070-9741",750
"683","95073",500
"684","95073-9415",40
"685","95073-9428",200
"686","95076",5248
"687","95076-3538",300
"688","95088",1000
"689","95101",198
"690","95106",3300
"691","95108",500
"692","95109",1250
"693","95109-1358",600
"694","95109-2079",2200
"695","95110",62513.98
"696","95110-1701",420
"697","95110-2131",500
"698","95110-2269",600
"699","95110-2626",1500
"700","95110-2653",250
"701","95110-2819",500
"702","95110-3036",600
"703","95110-3819",475
"704","95111",37428
"705","95111-1224",100
"706","95111-1828",300
"707","95111-2505",75
"708","95111-2689",100
"709","95111-2972",100
"710","95111-3203",1500
"711","95111-4032",200
"712","95112",187011
"713","95112-1547",50
"714","95112-1552",30
"715","95112-1712",200
"716","95112-1739",150
"717","95112-1926",250
"718","95112-2016",25
"719","95112-2029",500
"720","95112-2102",1000
"721","95112-2146",300
"722","95112-2234",1400
"723","95112-2240",1500
"724","95112-2314",1000
"725","95112-2323",50
"726","95112-2362",600
"727","95112-2363",500
"728","95112-2368",2200
"729","95112-2372",750
"730","95112-3025",600
"731","95112-3149",250
"732","95112-3200",500
"733","95112-3202",500
"734","95112-3251",200
"735","95112-3324",300
"736","95112-3599",1000
"737","95112-3810",1500
"738","95112-4059",750
"739","95112-4108",3300
"740","95112-4611",150
"741","95112-4706",3300
"742","95112-4708",1000
"743","95112-4815",750
"744","95112-4925",300
"745","95112-4945",2215
"746","95112-4965",50
"747","95112-5110",150
"748","95112-5252",100
"749","95112-5266",100
"750","95112-5417",2200
"751","95112-6005",1100
"752","95112-6314",3300
"753","95112-6346",3300
"754","95112-6350",1100
"755","95112-6402",1000
"756","95112-7422",1100
"757","95113",89974
