ZipCode;TotalAmount;
95112;7650;Herrera
95113;2200;Herrera
95116;1000;Herrera
95118;550;Herrera
95119;1100;Herrera
95120;100;Herrera
95121;6050;Herrera
95122;1202;Herrera
95124;1490;Herrera
95125;2850;Herrera
95126;3250;Herrera
95127;2200;Herrera
95128;200;Herrera
95129;200;Herrera
95131;1100;Herrera
95132;1100;Herrera
95135;3250;Herrera
95136;1600;Herrera
95138;5870;Herrera
95148;5045;Herrera
95150;4400;Herrera
95377;800;Herrera
95814;1100;Herrera
95818;1000;Herrera
95843;400;Herrera
98075;1100;Herrera
1106;200;Liccardo
2043;400;Liccardo
2186;100;Liccardo
2460;100;Liccardo
2466;1100;Liccardo
2806;200;Liccardo
2920;1100;Liccardo
6437;250;Liccardo
7945;1100;Liccardo
10007;750;Liccardo
10014;750;Liccardo
10025;1950;Liccardo
11215;100;Liccardo
11414;500;Liccardo
12553;250;Liccardo
19034;500;Liccardo
20001;50;Liccardo
20007;750;Liccardo
20008;1100;Liccardo
20015;500;Liccardo
20016;300;Liccardo
20057;50;Liccardo
20814;50;Liccardo
20815;1350;Liccardo
22181;750;Liccardo
22201;20;Liccardo
22205;100;Liccardo
22315;200;Liccardo
27607;250;Liccardo
28715;150;Liccardo
30024;500;Liccardo
30080;600;Liccardo
30305;150;Liccardo
32751;750;Liccardo
33027;1100;Liccardo
33138;1100;Liccardo
33156;2000;Liccardo
33480;1500;Liccardo
34216;2200;Liccardo
34786;1500;Liccardo
40508;200;Liccardo
43201;250;Liccardo
48108;100;Liccardo
49007;100;Liccardo
55331;1500;Liccardo
55391;-200;Liccardo
60093;1100;Liccardo
60610;150;Liccardo
60615;500;Liccardo
64105;250;Liccardo
68114;300;Liccardo
70113;600;Liccardo
72207;100;Liccardo
72701;500;Liccardo
76092;250;Liccardo
77380;1100;Liccardo
78233;3300;Liccardo
78681;1100;Liccardo
78746;1000;Liccardo
80107;250;Liccardo
80138;500;Liccardo
80537;1800;Liccardo
84103;75;Liccardo
85054;3300;Liccardo
85203;1000;Liccardo
85283;450;Liccardo
85284;300;Liccardo
89135;1840;Liccardo
90024;5500;Liccardo
90025;3200;Liccardo
90042;300;Liccardo
90064;750;Liccardo
90071;25;Liccardo
90266;750;Liccardo
90277;100;Liccardo
90278;50;Liccardo
90291;250;Liccardo
90401;3650;Liccardo
90605;1000;Liccardo
91011;1100;Liccardo
91024;1000;Liccardo
91105;1500;Liccardo
91304;350;Liccardo
91350;3300;Liccardo
91403;25;Liccardo
91504;750;Liccardo
91607;300;Liccardo
91765;3300;Liccardo
92011;2200;Liccardo
92020;1500;Liccardo
92024;2200;Liccardo
92025;250;Liccardo
92101;1350;Liccardo
